high,low,volume,close,open,time
307.67,306.532,4689638.0,307.6,306.94,1653674400
309.25,307.38,15468906.0,309.2321,307.5901,1653678000
310.11,308.98,3389013.0,310.06,309.24,1653681600
310.1,309.1,433959.0,310.1,310.03,1653685200
310.2,310.0,24685.0,310.15,310.0,1653688800
310.5,310.15,50301.0,310.45,310.2,1653692400
310.88,308.51,153983.0,310.16,308.54,1653984000
310.05,307.72,238531.0,308.23,310.05,1653987600
309.3,307.68,169735.0,308.75,308.2,1653991200
309.78,308.71,337669.0,309.1,308.71,1653994800
309.16,307.13,979963.0,307.42,309.07,1653998400
309.35,305.28,8693652.0,306.08,307.41,1654002000
308.39,304.33,10299948.0,307.77,306.05,1654005600
310.22,306.42,6226018.0,309.89,307.77,1654009200
311.01,308.73,5060116.0,310.47,309.91,1654012800
311.2,308.66,3854798.0,311.1,310.4382,1654016400
311.33,307.28,8327003.0,308.0182,311.06,1654020000
310.72,307.3815,11246265.0,308.31,308.02,1654023600
308.86,308.02,3919614.0,308.54,308.31,1654027200
308.6,308.28,838209.0,308.54,308.6,1654030800
309.52,308.58,218897.0,309.5199,308.58,1654034400
309.86,309.28,109403.0,309.7,309.55,1654038000
308.38,306.88,52324.0,307.8,308.35,1654070400
308.51,307.79,26215.0,308.07,307.9,1654074000
308.12,307.4,44428.0,307.8,308.02,1654077600
309.25,307.7,403664.0,309.22,307.7,1654081200
310.04,308.049,733761.0,309.41,309.26,1654084800
312.65,309.28,8599796.0,312.2101,309.41,1654088400
312.572,306.21,13689425.0,308.3,312.24,1654092000
308.27,304.8,8253446.0,305.02,308.25,1654095600
305.4446,303.73,7158159.0,304.725,305.02,1654099200
306.46,304.5441,4927246.0,305.9999,304.75,1654102800
308.71,305.82,7149601.0,307.51,306.0,1654106400
308.81,305.83,10717797.0,305.98,307.5,1654110000
306.3,305.45,2512672.0,306.0,305.98,1654113600
306.0,305.7,289029.0,305.93,305.9,1654117200
306.06,305.3,199020.0,305.46,305.93,1654120800
305.65,304.9,129924.0,304.99,305.36,1654124400
308.34,306.52,69586.0,307.65,306.52,1654156800
308.26,307.41,34148.0,307.78,307.67,1654160400
308.58,307.39,101441.0,308.37,307.76,1654164000
308.37,307.73,179208.0,308.06,308.37,1654167600
308.5696,306.0,529144.0,306.96,307.87,1654171200
307.86,303.4001,9479543.0,305.64,306.99,1654174800
308.05,304.79,9747696.0,307.29,305.63,1654178400
310.4389,307.04,7608805.0,309.5,307.26,1654182000
312.14,309.3,5875961.0,311.77,309.51,1654185600
312.93,311.24,5215418.0,312.87,311.81,1654189200
313.74,312.5,5916050.0,312.585,312.84,1654192800
314.56,312.33,10878077.0,314.48,312.585,1654196400
314.6,313.7,3290032.0,314.46,314.44,1654200000
314.69,314.38,49870.0,314.52,314.44,1654203600
315.61,314.48,201155.0,315.01,314.53,1654207200
315.33,315.0,111724.0,315.12,315.02,1654210800
313.41,312.37,160928.0,313.1,313.41,1654243200
313.13,312.23,110871.0,312.68,313.05,1654246800
312.81,311.28,230568.0,311.45,312.81,1654250400
311.69,310.43,534523.0,310.5,311.49,1654254000
315.07,309.38,2077526.0,310.03,310.49,1654257600
310.66,307.5,9176820.0,309.58,310.07,1654261200
310.47,306.4203,10159573.0,306.49,309.57,1654264800
308.34,304.92,9311188.0,306.01,306.485,1654268400
307.59,305.47,4667342.0,307.42,305.92,1654272000
308.39,305.7,5945829.0,306.09,307.44,1654275600
307.35,305.78,3875292.0,306.7063,306.06,1654279200
306.94,305.12,11461822.0,306.1,306.74,1654282800
306.41,305.75,2891903.0,306.03,306.1,1654286400
306.2,306.0,730023.0,306.06,306.08,1654290000
306.1,305.84,40418.0,305.84,306.05,1654293600
306.0,305.7,34047.0,305.79,305.85,1654297200
310.93,307.12,131027.0,310.85,309.97,1654502400
310.84,309.82,115301.0,309.98,310.84,1654506000
310.78,309.97,79010.0,310.59,309.97,1654509600
310.72,309.91,407128.0,310.61,310.59,1654513200
311.27,306.429,604595.0,310.67,310.69,1654516800
311.79,309.04,7537784.0,310.86,310.68,1654520400
312.35,310.81,8553527.0,311.61,310.855,1654524000
311.9284,307.93,8924803.0,308.8899,311.62,1654527600
308.91,305.62,5686345.0,307.36,308.85,1654531200
309.1607,306.17,4980858.0,309.155,307.36,1654534800
309.25,306.23,4785254.0,307.0001,309.15,1654538400
307.67,305.82,7331052.0,307.25,306.99,1654542000
307.48,306.8,2094973.0,307.4,307.25,1654545600
307.48,307.11,92793.0,307.46,307.4,1654549200
307.58,306.73,57556.0,306.8,307.38,1654552800
307.55,306.84,51423.0,307.36,306.91,1654556400
306.36,305.64,46550.0,306.12,305.8,1654588800
306.13,305.42,33714.0,305.56,306.12,1654592400
305.73,304.37,64351.0,304.38,305.63,1654596000
305.07,303.4,391509.0,304.05,304.57,1654599600
307.45,303.13,429000.0,303.2,304.08,1654603200
306.78,302.6886,7827168.0,305.495,303.2,1654606800
309.82,304.63,9957116.0,308.95,305.53,1654610400
309.17,306.33,6148539.0,307.6,308.96,1654614000
308.0999,306.3813,4052645.0,307.8711,307.6016,1654617600
308.9,307.54,2739007.0,308.31,307.87,1654621200
309.74,308.15,3987595.0,308.85,308.36,1654624800
310.67,308.74,6161891.0,309.95,308.85,1654628400
